"dbn","boro","lat","lon","ontrack_year1_2013","graduation_rate_2013","college_career_rate_2013","student_satisfaction_2013","ontrack_year1_2012","graduation_rate_2012","college_career_rate_2012","student_satisfaction_2012"
"02M419","Manhattan","40.74288810100046","-74.00212738099964","0.8","0.5","0.41","0.072","0.69","0.51","0.43","0.065"
"02M418","Manhattan","40.704920366000465","-74.01151402299968","1","0.99","0.86","0.08","0.97","1","0.84","0.074"
"02M416","Manhattan","40.77011647100045","-73.95337910099965","1","1","0.97","0.083","1","0.98","0.97","0.078"
"02M414","Manhattan","40.74210071300047","-74.00207379699964","0.99","0.98","0.91","0.071","0.99","1","0.86","0.07"
"02M413","Manhattan","40.73894888600046","-73.98540517199967","0.95","0.85","0.77","0.077","0.97","0.83","0.63","0.074"
"02M412","Manhattan","40.74210071300047","-74.00207379699964","0.95","0.95","0.73","0.077","0.95","0.93","0.88","0.07"
"02M411","Manhattan","40.74404724800047","-73.99147929899965","1","0.99","0.96","0.08","1","1","0.91","0.075"
"02M408","Manhattan","40.761432699000466","-73.98802369799967","0.93","0.96","0.66","0.072","0.87","0.93","0.68","0.071"
"02M407","Manhattan","40.73248537800049","-73.98305338799963","1","0.94","0.58","0.082","0.98","0.86","0.57","0.078"
"02M400","Manhattan","40.76776243900048","-73.98751121399965","0.85","0.83","0.64","0.074","0.79","0.82","0.81","0.069"
"02M374","Manhattan","40.73551946300046","-73.98760424899967","0.82","0.77","0.5","0.069","0.82","0.74","0.48","0.067"
"02M316","Manhattan","40.70523493900049","-74.01331503999967","0.77","0.75","0.48","0.069","0.8","0.71","0.64","0.069"
"02M308","Manhattan","40.71686722400045","-73.98953194299963","0.67","0.75","0.52","0.072","0.75","0.68","0.59","0.067"
"02M305","Manhattan","40.71686722400045","-73.98953194299963","0.83","0.83","0.6","0.068","0.79","0.78","0.64","0.063"
"02M303","Manhattan","40.76502670800045","-73.99251657799965","0.78","0.62","0.52","0.078","0.77","0.65","0.43","0.069"
"02M300","Manhattan","40.76502670800045","-73.99251657799965","0.73","0.55","0.55","0.068","0.61","0.61","0.47","0.065"
"02M298","Manhattan","40.716412393000496","-73.99267584399968","0.94","0.89","0.69","0.075","0.9","0.87","0.79","0.07"
"02M296","Manhattan","40.76502670800045","-73.99251657799965","0.82","0.66","0.52","0.073","0.87","0.78","0.43","0.071"
"02M294","Manhattan","40.71686722400045","-73.98953194299963","0.9","0.65","0.49","0.079","0.9","0.77","0.61","0.075"
"02M288","Manhattan","40.76502670800045","-73.99251657799965","0.89","0.84","0.53","0.068","0.89","0.77","0.6","0.066"
"02M500","Manhattan","40.746106375000466","-73.98100966699963","0.8","0.68","0.4","0.076","0.83","0.7","0.5","0.084"
"02M047","Manhattan","40.738599087000466","-73.98251191099968","0.98","0.71","0.42","0.075","0.68","0.55","0.3","0.073"
"01M448","Manhattan","40.7123318510005","-73.98479662499966","0.83","0.78","0.55","0.075","0.92","0.74","0.67","0.066"
"01M450","Manhattan","40.729782687000466","-73.98304144099967","0.92","0.76","0.58","0.084","0.92","0.73","0.56","0.073"
"01M509","Manhattan","40.720569079000484","-73.98567269099965","0.59","0.36","0.38","0.065","0.69","0.6","0.48","0.065"
"01M539","Manhattan","40.718725451000466","-73.97942638599966","0.99","0.98","0.84","0.076","0.97","0.98","0.83","0.072"
"01M696","Manhattan","40.718961617000446","-73.97606602099967","0.96","0.98","0.94","0.082","0.96","0.97","0.97","0.08"
"01M292","Manhattan","40.71376394700047","-73.98526003999967","0.62","0.58","0.32","0.071","0.81","0.51","0.4","0.063"
"06M552","Manhattan","40.83803232200046","-73.93837101799966","0.7","0.64","0.56","0.082","0.46","0.76","0.52","0.075"
"06M540","Manhattan","40.81832126900048","-73.95061382799963","0.73","0.73","0.65","0.089","0.9","0.75","0.63","0.061"
"06M468","Manhattan","40.855938307000486","-73.92702963399967","0.65","0.49","0.36","0.072","0.67","0.57","0.41","0.066"
"06M467","Manhattan","40.855938307000486","-73.92702963399967","0.68","0.6","0.39","0.071","0.71","0.65","0.53","0.065"
"06M463","Manhattan","40.855938307000486","-73.92702963399967","0.68","0.62","0.45","0.075","0.62","0.64","0.37","0.066"
"06M462","Manhattan","40.855938307000486","-73.92702963399967","0.76","0.64","0.42","0.075","0.72","0.59","0.43","0.068"
"05M692","Manhattan","40.821123112000464","-73.94884524399964","1","0.99","0.98","0.082","0.97","0.99","0.6","0.076"
"05M670","Manhattan","40.81536482900049","-73.94389670999965","0.63","0.94","0.63","0.076","0.75","0.9","0.65","0.069"
"05M499","Manhattan","40.82430838500045","-73.93697961299966","0.64","0.8","0.76","0.069","0.47","0.82","0.73","0.062"
"05M369","Manhattan","40.815230365000446","-73.95520120599963","0.85","0.68","0.6","0.066","0.78","0.75","0.57","0.059"
"05M367","Manhattan","40.815230365000446","-73.95520120599963","0.63","0.59","0.23","0.065","0.78","0.37","0.71","0.056"
"05M304","Manhattan","40.817361046000485","-73.94770842099967","0.76","0.69","0.45","0.073","0.67","0.65","0.59","0.067"
"04M680","Manhattan","40.79187961800045","-73.94658639999966","0.78","0.61","0.36","0.065","0.84","0.63","0.29","0.063"
"04M610","Manhattan","40.79270695600047","-73.94729966199964","0.95","1","0.91","0.081","0.97","1","0.83","0.074"
"04M555","Manhattan","40.79367888200045","-73.94941649499964","0.87","0.93","0.73","0.079","0.94","0.85","0.58","0.072"
"04M495","Manhattan","40.7905626000005","-73.94445440799967","0.76","0.76","0.51","0.08","0.92","0.82","0.47","0.071"
"04M435","Manhattan","40.793741706000446","-73.93408414199968","0.95","0.9","0.77","0.072","0.96","0.91","0.74","0.066"
"04M409","Manhattan","40.7988651820005","-73.93336559699964","0.65","0.41","0.22","0.075","0.67","0.47","0.33","0.067"
"03M860","Manhattan","40.802174581000486","-73.95400882799964","0.89","0.65","0.59","0.07","0.81","0.68","0.52","0.065"
"03M541","Manhattan","40.77429641100048","-73.98482270099964","0.94","0.91","0.89","0.078","1","0.95","0.82","0.072"
"03M494","Manhattan","40.77429641100048","-73.98482270099964","0.77","0.64","0.51","0.069","0.79","0.68","0.41","0.067"
"03M492","Manhattan","40.77429641100048","-73.98482270099964","0.76","0.74","0.41","0.071","0.68","0.79","0.53","0.069"
"03M485","Manhattan","40.773670507000475","-73.98526855799963","0.99","0.98","0.86","0.073","0.99","1","0.93","0.068"
